version,cve_id,base_score,base_severity,cvss_version
1.26.2,CVE-2026-49975,7.5,HIGH,3.1
1.29.3,CVE-2026-49975,7.5,HIGH,3.1
1.20.2,CVE-2021-3618,7.4,HIGH,3.1
1.20.2,CVE-2022-41741,7.8,HIGH,3.1
1.20.2,CVE-2022-41742,7.1,HIGH,3.1
1.20.2,CVE-2023-44487,7.5,HIGH,3.1
1.20.2,CVE-2025-23419,5.3,MEDIUM,4.0
1.20.2,CVE-2026-49975,7.5,HIGH,3.1
1.14.2,CVE-2018-16845,6.1,MEDIUM,3.1
1.14.2,CVE-2019-9511,7.5,HIGH,3.1
1.14.2,CVE-2019-9513,7.5,HIGH,3.1
1.14.2,CVE-2019-9516,6.5,MEDIUM,3.1
1.14.2,CVE-2019-20372,5.3,MEDIUM,3.1
1.14.2,CVE-2021-23017,7.7,HIGH,3.1
1.14.2,CVE-2021-3618,7.4,HIGH,3.1
1.14.2,CVE-2022-41741,7.8,HIGH,3.1
1.14.2,CVE-2022-41742,7.1,HIGH,3.1
1.14.2,CVE-2023-44487,7.5,HIGH,3.1
1.14.2,CVE-2025-23419,5.3,MEDIUM,4.0
1.14.2,CVE-2026-49975,7.5,HIGH,3.1
1.26.3,CVE-2026-49975,7.5,HIGH,3.1
1.21.2,CVE-2022-41741,7.8,HIGH,3.1
1.21.2,CVE-2022-41742,7.1,HIGH,3.1
1.21.2,CVE-2023-44487,7.5,HIGH,3.1
1.21.2,CVE-2025-23419,5.3,MEDIUM,4.0
1.21.2,CVE-2026-49975,7.5,HIGH,3.1
1.28.1,CVE-2026-49975,7.5,HIGH,3.1
1.23.3,CVE-2023-44487,7.5,HIGH,3.1
1.23.3,CVE-2025-23419,5.3,MEDIUM,4.0
1.23.3,CVE-2026-49975,7.5,HIGH,3.1
1.29.6,CVE-2026-49975,7.5,HIGH,3.1
1.1.1,CVE-2011-4315,6.8,,2.0
1.1.1,CVE-2012-1180,5.0,,2.0
1.1.1,CVE-2011-4963,5.0,,2.0
