ip,port,status_code,server_header,nginx_version
"185.219.83.106","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"139.162.206.191","80","200","nginx","unknown"
"139.162.206.191","443","200","nginx","unknown"
"213.125.224.170","80","200","nginx","unknown"
"213.125.224.170","443","200","nginx","unknown"
"89.39.104.53","80","200","nginx/1.18.0","1.18.0"
"89.39.104.53","443","200","nginx/1.18.0","1.18.0"
"185.209.51.157","80","404","nginx","unknown"
"185.209.51.157","443","404","nginx","unknown"
"195.240.78.134","80","200","nginx","unknown"
"195.240.78.134","443","200","nginx","unknown"
"185.85.17.23","80","200","nginx","unknown"
"185.85.17.23","443","200","nginx","unknown"
"217.123.0.101","80","200","nginx","unknown"
"217.123.0.101","443","200","nginx","unknown"
"185.156.160.13","80","403","nginx","unknown"
"185.156.160.13","443","200","nginx","unknown"
"185.100.131.80","80","200","nginx","unknown"
"185.100.131.80","443","200","nginx","unknown"
"5.172.45.238","80","200","nginx","unknown"
"5.172.45.238","443","200","nginx","unknown"
"62.3.53.10","80","200","nginx","unknown"
"89.105.208.60","80","200","nginx","unknown"
"37.48.95.142","80","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"37.48.95.142","443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"185.94.237.53","80","200","nginx/1.27.3","1.27.3"
"185.94.237.53","443","400","nginx/1.27.3","1.27.3"
"178.251.26.176","80","404","nginx","unknown"
"178.251.26.176","443","200","nginx","unknown"
"31.192.115.17","80","200","nginx","unknown"
"31.192.115.17","443","200","nginx","unknown"
"185.209.51.248","80","404","nginx","unknown"
"185.209.51.248","443","404","nginx","unknown"
"212.47.220.29","80","200","nginx","unknown"
"212.47.220.29","443","200","nginx","unknown"
"87.215.125.150","80","200","nginx","unknown"
"87.215.125.150","443","200","nginx","unknown"
"213.171.65.185","80","200","nginx","unknown"
"213.171.65.185","443","200","nginx","unknown"
"139.162.33.166","80","503","nginx","unknown"
"139.162.33.166","443","503","nginx","unknown"
"185.138.80.174","80","200","nginx","unknown"
"185.138.80.174","443","200","nginx","unknown"
"89.32.244.124","80","403","nginx","unknown"
"45.143.251.131","80","403","nginx/1.22.0","1.22.0"
"45.143.251.131","443","403","nginx/1.22.0","1.22.0"
"45.137.198.117","80","404","nginx/1.31.0","1.31.0"
"45.137.198.117","443","404","nginx/1.31.0","1.31.0"
