171.21.80.78,,,27017
145.30.239.10,,,27017
145.220.184.88,,,27017
145.220.191.20,,,27017
145.220.189.41,,,27017
212.80.215.42,,,27017
145.220.185.62,,,27017
95.155.138.47,,,27017
192.159.102.103,,,27017
145.220.190.12,,,27017
139.162.189.84,,,27017
145.220.186.85,,,27017
87.215.14.92,,,27017
145.220.189.132,,,27017
95.155.141.52,,,27017
185.142.146.11,,,27017
145.220.187.238,,,27017
87.215.14.94,,,27017
188.227.107.176,,,27017
85.17.155.52,,,27017
95.155.138.174,,,27017
192.159.102.59,,,27017
145.220.181.89,,,27017
145.220.191.78,,,27017
95.155.135.137,,,27017
195.162.69.201,,,27017
171.21.80.216,,,27017
145.220.184.199,,,27017
95.155.142.24,,,27017
87.215.14.91,,,27017
137.56.2.0,,,27017
137.56.51.23,,,27017
95.155.141.87,,,27017
145.220.190.160,,,27017
145.220.187.127,,,27017
145.220.187.195,,,27017
79.170.93.136,,,27017
171.21.80.22,,,27017
95.155.143.17,,,27017
145.220.187.180,,,27017
178.170.178.99,,,27017
145.63.64.0,,,27017
145.220.184.152,,,27017
95.101.229.31,,,27017
185.95.14.177,,,27017
145.220.181.117,,,27017
145.220.189.127,,,27017
145.63.64.26,,,27017
95.155.143.179,,,27017
87.215.50.32,,,27017
145.220.189.216,,,27017
95.155.135.59,,,27017
145.220.190.201,,,27017
145.220.191.47,,,27017
95.211.40.127,,,27017
95.155.141.187,,,27017
145.220.186.183,,,27017
136.144.174.183,,,27017
145.220.187.143,,,27017
185.5.206.139,,,27017
145.220.185.21,,,27017
145.220.189.37,,,27017
145.220.181.185,,,27017
85.10.136.112,,,27017
37.97.238.160,,,27017
171.21.250.95,,,27017
145.220.189.28,,,27017
185.196.220.61,,,27017
145.220.191.180,,,27017
139.162.11.68,,,27017
95.155.142.21,,,27017
79.170.100.236,,,27017
145.220.191.193,,,27017
79.170.100.97,,,27017
95.155.142.196,,,27017
171.21.80.195,,,27017
171.21.122.194,,,27017
139.162.3.23,,,27017
95.155.142.7,,,27017
45.91.135.7,,,27017
139.162.3.221,,,27017
194.53.211.225,,,27017
88.221.172.220,,,27017
171.21.250.233,,,27017
145.220.187.253,,,27017
95.155.143.118,,,27017
145.220.187.78,,,27017
178.132.6.43,,,27017
145.220.189.42,,,27017
192.159.102.101,,,27017
171.21.250.164,,,27017
95.155.141.184,,,27017
139.162.175.46,,,27017
145.220.190.73,,,27017
45.148.26.202,,,27017
145.220.184.114,,,27017
77.175.253.215,,,27017
145.220.190.97,,,27017
145.220.188.51,,,27017
79.170.100.6,,,27017
145.220.189.120,,,27017
79.170.100.195,,,27017
145.220.181.73,,,27017
95.100.241.31,,,27017
192.159.102.214,,,27017
145.220.186.73,,,27017
192.159.102.246,,,27017
134.146.164.137,,,27017
145.220.188.214,,,27017
145.220.184.166,,,27017
192.159.102.71,,,27017
95.155.143.218,,,27017
145.63.64.49,,,27017
172.255.232.163,,,27017
87.252.198.138,,,27017
95.155.138.54,,,27017
95.155.141.160,,,27017
145.220.188.166,,,27017
80.57.219.245,,,27017
79.170.100.93,,,27017
139.162.16.23,,,27017
145.220.191.74,,,27017
145.220.189.80,,,27017
145.220.181.65,,,27017
95.155.142.249,,,27017
199.212.90.90,,,27017
95.155.143.78,,,27017
145.220.185.14,,,27017
95.155.138.12,,,27017
145.220.186.199,,,27017
95.155.135.116,,,27017
176.74.254.168,,,27017
178.170.178.209,,,27017
145.220.186.36,,,27017
171.21.80.7,,,27017
79.170.100.161,,,27017
2.17.219.14,,,27017
171.21.80.152,,,27017
178.170.178.3,,,27017
145.220.187.110,,,27017
83.149.110.94,,,27017
192.159.102.129,,,27017
145.220.184.89,,,27017
95.100.36.220,,,27017
95.155.142.255,,,27017
95.155.138.200,,,27017
95.211.164.164,,,27017
143.177.221.181,,,27017
145.220.191.92,,,27017
95.155.138.180,,,27017
145.220.190.104,,,27017
171.21.80.28,,,27017
95.155.143.166,,,27017
95.155.135.21,,,27017
145.220.189.55,,,27017
145.63.64.16,,,27017
171.21.250.51,,,27017
95.155.135.89,,,27017
145.220.187.204,,,27017
185.209.22.34,,,27017
145.63.64.114,,,27017
145.220.185.55,,,27017
87.252.198.154,,,27017
95.155.141.125,,,27017
145.220.190.124,,,27017
95.155.143.24,,,27017
92.66.156.97,,,27017
145.220.191.84,,,27017
145.220.181.27,,,27017
85.233.214.212,,,27017
139.162.71.192,,,27017
145.220.186.102,,,27017
171.21.250.128,,,27017
95.155.138.86,,,27017
89.149.243.12,,,27017
95.155.142.132,,,27017
188.137.241.56,,,27017
171.21.80.132,,,27017
62.200.226.66,,,27017
2.21.96.111,,,27017
192.159.102.41,,,27017
95.155.135.129,,,27017
145.220.188.22,,,27017
145.220.188.209,,,27017
145.220.190.244,,,27017
145.63.64.94,,,27017
145.30.239.11,,,27017
171.21.250.103,,,27017
95.155.142.176,,,27017
95.155.143.141,,,27017
2.23.229.177,,,27017
145.220.188.181,,,27017
31.149.197.68,,,27017
95.155.138.13,,,27017
5.175.86.44,,,27017
62.59.43.75,,,27017
134.146.6.13,,,27017
145.220.186.165,,,27017
171.21.250.193,,,27017
137.56.154.173,,,27017
137.56.63.238,,,27017
137.56.103.19,,,27017
185.51.247.115,,,27017
137.56.171.210,,,27017
137.56.11.103,,,27017
137.56.80.36,,,27017
212.43.148.234,,,27017
188.164.248.224,,,27017
79.170.100.12,,,27017
137.56.57.201,,,27017
171.21.122.246,,,27017
145.107.35.221,,,27017
137.56.57.77,,,27017
171.21.80.147,,,27017
95.155.143.241,,,27017
137.56.111.91,,,27017
192.159.102.180,,,27017
137.56.171.45,,,27017
192.159.102.156,,,27017
145.220.186.8,,,27017
137.56.56.32,,,27017
145.220.187.142,,,27017
137.56.69.5,,,27017
137.56.178.100,,,27017
194.171.6.244,,,27017
137.56.172.82,,,27017
137.56.48.165,,,27017
137.56.87.119,,,27017
137.56.105.160,,,27017
137.56.144.25,,,27017
95.155.143.251,,,27017
137.56.134.155,,,27017
137.56.89.42,,,27017
137.56.129.73,,,27017
137.56.47.184,,,27017
137.56.43.2,,,27017
145.220.188.107,,,27017
137.56.10.119,,,27017
145.220.189.126,,,27017
137.56.146.93,,,27017
91.190.98.33,,,27017
137.56.177.115,,,27017
137.56.41.36,,,27017
95.155.138.164,,,27017
137.56.51.49,,,27017
137.56.14.177,,,27017
137.56.109.54,,,27017
137.56.165.132,,,27017
137.56.58.90,,,27017
137.56.22.232,,,27017
137.56.81.120,,,27017
137.56.9.101,,,27017
137.56.89.218,,,27017
137.56.8.152,,,27017
137.56.5.129,,,27017
137.56.141.113,,,27017
145.220.188.72,,,27017
137.56.84.7,,,27017
137.56.46.46,,,27017
137.56.56.216,,,27017
137.56.31.158,,,27017
137.56.18.112,,,27017
137.56.54.89,,,27017
137.56.57.21,,,27017
145.107.54.131,,,27017
137.56.0.149,,,27017
137.56.87.176,,,27017
137.56.144.40,,,27017
137.56.17.199,,,27017
137.56.50.71,,,27017
137.56.68.64,,,27017
137.56.43.222,,,27017
137.56.94.226,,,27017
137.56.27.222,,,27017
137.56.122.192,,,27017
137.56.17.20,,,27017
137.56.20.10,,,27017
188.92.63.253,,,27017
137.56.27.44,,,27017
137.56.21.233,,,27017
145.107.34.30,,,27017
137.56.173.186,,,27017
137.56.26.124,,,27017
137.56.130.74,,,27017
139.162.225.92,,,27017
145.63.64.205,,,27017
95.155.135.74,,,27017
137.56.107.75,,,27017
145.220.189.200,,,27017
145.220.186.142,,,27017
171.21.250.23,,,27017
137.56.96.73,,,27017
137.56.141.166,,,27017
145.220.186.48,,,27017
192.159.102.200,,,27017
145.220.190.22,,,27017
95.100.36.71,,,27017
95.155.138.107,,,27017
137.56.121.138,,,27017
145.107.39.171,,,27017
137.56.47.181,,,27017
137.56.10.196,,,27017
137.56.101.99,,,27017
137.56.45.92,,,27017
137.56.122.250,,,27017
137.56.55.140,,,27017
145.220.185.112,,,27017
171.21.80.140,,,27017
137.56.93.225,,,27017
137.56.179.61,,,27017
95.155.142.27,,,27017
87.195.255.90,,,27017
145.220.181.129,,,27017
95.155.141.119,,,27017
178.170.178.4,,,27017
91.190.98.201,,,27017
137.56.40.75,,,27017
139.162.55.91,,,27017
171.21.250.108,,,27017
137.56.145.254,,,27017
145.220.191.148,,,27017
145.220.189.22,,,27017
2.23.95.177,,,27017
145.220.187.2,,,27017
145.63.64.186,,,27017
95.155.135.160,,,27017
95.155.135.241,,,27017
192.159.102.173,,,27017
81.175.104.153,,,27017
145.220.185.213,,,27017
62.251.48.112,,,27017
145.220.191.83,,,27017
171.21.250.205,,,27017
45.144.164.76,,,27017
145.220.181.189,,,27017
145.220.188.160,,,27017
145.220.186.143,,,27017
145.220.184.22,,,27017
203.159.95.205,,,27017
145.63.64.162,,,27017
95.155.142.28,,,27017
195.212.20.146,,,27017
145.220.181.187,,,27017
95.155.142.221,,,27017
95.155.138.36,,,27017
145.220.181.55,,,27017
37.97.207.10,,,27017
145.220.187.91,,,27017
139.162.118.148,,,27017
157.97.199.203,,,27017
145.220.189.135,,,27017
145.220.184.24,,,27017
145.220.185.131,,,27017
145.220.188.175,,,27017
79.170.100.105,,,27017
139.162.40.194,,,27017
2.18.44.132,,,27017
145.220.186.156,,,27017
95.155.142.116,,,27017
176.222.52.49,,,27017
95.155.142.162,,,27017
95.155.135.0,,,27017
46.244.21.4,,,27017
145.220.181.43,,,27017
145.220.189.167,,,27017
145.220.184.251,,,27017
145.220.184.34,,,27017
95.155.138.92,,,27017
145.220.187.5,,,27017
2.23.174.190,,,27017
145.63.64.105,,,27017
139.162.189.143,,,27017
145.63.64.75,,,27017
145.220.187.50,,,27017
145.220.191.18,,,27017
145.220.186.62,,,27017
145.220.191.249,,,27017
145.220.186.106,,,27017
91.190.98.10,,,27017
145.220.181.210,,,27017
192.159.102.91,,,27017
