unknown,6761
1.18.0,1154
1.24.0,726
1.22.1,274
1.20.1,115
1.14.0,95
1.22.0,87
1.28.0,82
1.10.3,72
1.14.2,71
1.26.3,65
1.29.8,62
1.14.1,54
1.26.2,49
1.4.5,47
1.30.0,42
1.16.1,38
1.28.1,36
1.27.5,32
1.20.2,31
1.29.6,31
1.26.1,22
1.4.6,21
1.28.3,21
1.29.4,20
1.28.2,19
1.12.2,18
1.29.3,17
1.25.3,15
1.29.5,14
1.29.7,14
1.6.2,13
1.21.6,13
1.29.1,11
1.25.4,11
1.23.3,10
1.23.2,10
1.25.5,10
1.25.1,9
1.27.0,9
1.27.1,9
1.27.4,8
1.16.0,8
1.29.0,8
1.19.6,7
1.15.8,7
1.10.1,7
1.10.2,6
1.27.3,6
1.23.4,6
1.25.0,6
1.17.6,5
1.7.10,5
1.25.2,5
1.23.1,5
1.26.0,5
1.19.10,4
1.27.2,4
1.21.1,4
1.8.0,4
1.15.9,4
1.19.8,4
1.2.1,3
1.1.19,3
1.17.3,3
1.20.0,3
1.21.2,2
1.17.8,2
1.21.5,2
1.17.9,2
1.12.1,2
1.19.7,2
1.17.4,2
1.29.2,2
1.19.5,2
1.13.8,2
1.21.3,2
1.15.5,2
1.13.3,2
1.10.0,2
1.6.0,2
1.1.1,1
1.15.0,1
1.11.8,1
1.0.11,1
1.15.1,1
1.6.1,1
0.8.52,1
1.15.2,1
1.19.3,1
1.11.3,1
1.7.6,1
1.15.6,1
1.9.9,1
1.9.15,1
1.13.9,1
1.19.2,1
1.4.2,1
1.13.5,1
1.23.3.5,1
1.13.11,1
1.5.13,1
1.0.15,1
1.17.5,1
1.21.0,1
1.8.1,1
1.13.6,1
1.7.1,1
1.17.10,1
1.30.1,1
1.31.0,1
