ip,software,version,eol_status
185.104.28.238,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.30,1.0.2k,2019-12-31
185.182.56.12,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16,1.0.2k,2019-12-31
