ip,status_code,server_header,version,eol_status,cves,cve_count
185.104.28.238,200,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.30,1.0.2k-fips,2019-12-31,none,0
185.182.56.12,200,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16,1.0.2k-fips,2019-12-31,none,0
