ip,status_code,server_header,nginx_version
"212.7.202.16","403","nginx","unknown"
"217.121.231.4","200","nginx","unknown"
"217.19.10.3","403","nginx/1.22.0","1.22.0"
"139.162.251.9","404","nginx","unknown"
"85.10.137.77","200","nginx","unknown"
"83.86.13.174","200","nginx","unknown"
"85.148.169.66","403","nginx","unknown"
"139.162.180.74","200","nginx","unknown"
"212.7.194.154","200","nginx","unknown"
"185.237.107.37","404","nginx","unknown"
"95.211.93.82","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"5.39.220.93","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"45.141.203.105","400","nginx","unknown"
"143.177.191.169","200","nginx","unknown"
"37.97.206.234","200","nginx","unknown"
"139.162.178.66","200","nginx/1.29.4","1.29.4"
"79.170.94.117","403","nginx/1.1.19","1.1.19"
"203.159.95.130","200","nginx/1.22.1","1.22.1"
"85.10.153.116","403","nginx","unknown"
"92.246.95.226","404","nginx/1.29.6","1.29.6"
"85.10.131.232","200","nginx","unknown"
"37.97.244.36","200","nginx","unknown"
"185.73.93.234","403","nginx","unknown"
"145.14.15.183","200","nginx","unknown"
"80.94.90.7","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"141.138.142.242","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"185.253.218.39","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"94.208.206.6","404","nginx/1.22.1","1.22.1"
"185.33.117.148","200","nginx","unknown"
"194.117.69.58","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"37.252.124.118","406","nginx","unknown"
"217.121.0.53","200","nginx","unknown"
"170.62.105.72","404","nginx","unknown"
"37.230.137.107","200","nginx/1.20.1","1.20.1"
"95.211.156.119","404","nginx","unknown"
"172.255.101.52","404","nginx","unknown"
"89.98.222.190","200","nginx","unknown"
"158.173.211.233","200","nginx/1.27.5","1.27.5"
"136.144.242.74","200","nginx/1.14.2","1.14.2"
"45.141.203.235","400","nginx","unknown"
"95.168.167.78","200","nginx","unknown"
"139.162.154.17","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"45.141.203.60","400","nginx","unknown"
"45.88.104.86","200","nginx","unknown"
"185.94.236.148","200","nginx/1.23.3","1.23.3"
"203.159.92.204","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"62.238.252.126","200","nginx","unknown"
"80.115.102.125","200","nginx","unknown"
"85.147.142.89","200","nginx","unknown"
"5.79.70.137","200","nginx","unknown"
"37.230.146.126","404","nginx","unknown"
"77.174.137.106","403","nginx","unknown"
"62.221.208.78","200","nginx","unknown"
"217.63.90.5","404","nginx/1.28.0","1.28.0"
"82.170.133.191","200","nginx","unknown"
"77.168.231.208","200","nginx","unknown"
"93.95.214.210","200","nginx","unknown"
"185.206.232.20","200","nginx/1.22.1","1.22.1"
"85.144.32.126","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"80.91.219.116","404","nginx","unknown"
"23.109.6.124","404","nginx/1.30.1","1.30.1"
"188.213.92.243","200","nginx","unknown"
"65.87.222.145","404","nginx/1.28.1","1.28.1"
"62.221.213.65","200","nginx","unknown"
"89.20.164.108","200","nginx","unknown"
"139.162.83.165","200","nginx/1.28.0","1.28.0"
"66.151.43.130","403","nginx/1.27.3","1.27.3"
"87.233.157.151","200","nginx","unknown"
"144.178.229.226","200","nginx","unknown"
"213.197.21.109","200","nginx","unknown"
"95.211.127.54","401","nginx","unknown"
"195.22.100.235","200","nginx","unknown"
"136.144.214.198","403","nginx","unknown"
"83.80.152.200","200","nginx","unknown"
"109.72.86.174","200","nginx","unknown"
"213.124.57.18","200","nginx","unknown"
"37.97.245.236","200","nginx/1.14.1","1.14.1"
"185.95.26.94","200","nginx","unknown"
"5.255.125.89","200","nginx","unknown"
"95.211.43.164","403","nginx","unknown"
"62.131.89.78","200","nginx","unknown"
"91.211.249.170","200","nginx/1.26.2","1.26.2"
"62.45.51.46","200","nginx","unknown"
"86.82.20.30","200","nginx","unknown"
"93.158.213.21","200","nginx/1.29.5","1.29.5"
"212.7.205.148","200","nginx","unknown"
"193.26.9.231","403","nginx","unknown"
"193.109.122.5","200","nginx","unknown"
"139.162.29.92","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"85.17.4.95","404","nginx","unknown"
"194.62.157.29","200","nginx/1.22.1","1.22.1"
"156.67.63.220","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"37.48.89.206","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"109.72.86.65","200","nginx","unknown"
"37.97.184.171","403","nginx/1.24.0 (Ubuntu)","1.24.0"
"212.119.35.145","200","nginx","unknown"
"188.137.247.111","200","nginx/1.22.1","1.22.1"
"185.138.56.237","403","nginx/1.18.0","1.18.0"
"45.138.16.100","200","nginx/1.24.0 (Ubuntu)","1.24.0"
"193.23.118.133","200","nginx","unknown"
"185.107.58.6","200","nginx","unknown"
"37.252.127.89","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"185.249.252.31","200","nginx","unknown"
"103.246.144.141","200","nginx","unknown"
