ip,status_code,server_header,nginx_version
"84.31.79.100","200","nginx","unknown"
"37.97.129.230","200","nginx","unknown"
"178.255.55.151","403","nginx","unknown"
"37.48.95.110","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"86.92.44.69","200","nginx","unknown"
"2.16.133.213","400","akamai/nginx","unknown"
"81.29.219.23","403","nginx","unknown"
"188.137.249.155","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"45.133.249.121","403","nginx","unknown"
"185.62.56.145","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"93.119.4.9","200","nginx","unknown"
"91.220.25.60","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"136.144.229.184","200","nginx","unknown"
"77.172.108.145","403","nginx","unknown"
"80.89.237.228","200","nginx/1.29.4","1.29.4"
"84.247.11.98","200","nginx","unknown"
"139.162.28.93","404","nginx/1.14.0 (Ubuntu)","1.14.0"
"37.48.87.81","200","nginx","unknown"
"185.40.18.4","404","nginx","unknown"
"84.80.3.151","200","nginx","unknown"
"149.210.203.195","200","nginx/1.28.3 (Ubuntu)","1.28.3"
"109.207.173.228","401","nginx/1.18.0","1.18.0"
"139.162.54.231","404","nginx/1.18.0 (Ubuntu)","1.18.0"
"89.149.242.168","404","nginx/1.24.0 (Ubuntu)","1.24.0"
"91.132.41.48","200","nginx","unknown"
"89.32.240.186","403","nginx","unknown"
"185.227.34.185","403","nginx","unknown"
"139.162.254.24","200","nginx/1.10.3","1.10.3"
"37.97.129.34","200","nginx","unknown"
"139.162.234.29","404","nginx/1.18.0","1.18.0"
"37.97.194.79","200","nginx/1.14.2","1.14.2"
"37.48.89.153","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"93.158.213.92","200","nginx/1.18.0","1.18.0"
"82.174.199.253","200","nginx","unknown"
