unknown,15816
1.18.0,2778
1.24.0,1695
1.22.1,591
1.20.1,274
1.14.0,213
1.22.0,209
1.28.0,195
1.10.3,169
1.26.3,162
1.14.2,159
1.14.1,133
1.29.8,120
1.26.2,114
1.4.5,96
1.28.1,94
1.16.1,90
1.27.5,81
1.30.0,79
1.20.2,71
1.29.6,62
1.28.3,61
1.12.2,56
1.28.2,50
1.26.1,42
1.4.6,40
1.6.2,39
1.29.4,37
1.29.5,34
1.29.7,34
1.29.3,32
1.25.3,27
1.29.1,25
1.31.0,25
1.30.1,24
1.27.0,23
1.21.6,22
1.27.3,21
1.25.4,19
1.27.4,19
1.23.2,19
1.16.0,19
1.10.1,17
1.29.0,17
1.26.0,16
1.25.5,15
1.23.3,14
1.25.1,14
1.19.6,14
1.15.8,13
1.27.2,12
1.7.10,12
1.10.2,11
1.27.1,11
1.25.0,11
1.25.2,11
1.19.10,10
1.21.1,10
1.23.4,10
1.21.5,10
1.29.2,10
1.23.1,9
1.10.0,9
1.17.6,8
1.17.3,8
1.8.1,8
1.8.0,7
1.17.8,6
1.1.19,6
1.19.8,6
1.17.10,6
1.21.2,5
1.15.0,5
1.17.9,5
1.19.3,5
1.21.3,5
1.12.1,4
1.15.9,4
1.15.5,4
1.13.3,4
1.2.1,3
1.6.1,3
1.19.5,3
1.20.0,3
1.13.8,3
1.5.13,3
1.21.0,3
1.6.0,3
1.15.12,3
1.1.1,2
1.11.8,2
1.15.2,2
1.19.7,2
1.17.4,2
1.15.6,2
1.9.9,2
1.13.6,2
1.13.1,2
1.6.3,2
1.0.5,2
1.19.0,2
1.17.7,2
1.7.7,2
1.13.12,2
nginx_version,1
1.0.11,1
1.15.1,1
0.8.52,1
1.11.3,1
1.7.6,1
1.9.15,1
1.13.9,1
1.19.2,1
1.4.2,1
1.13.5,1
1.23.3.5,1
1.13.11,1
1.0.15,1
1.17.5,1
1.7.1,1
1.12.0,1
1.15.7,1
1.9.1,1
0.8.54,1
1.11.2,1
1.4.4,1
1.0.10,1
1.11.9,1
1.4.1,1
0.7.67,1
1.15.10,1
1.0.14,1
1.9.10,1
1.21.4,1
1.23.0,1
1.2.0,1
1.11.5,1
1.17.2,1
1.11.10,1
1.7.12,1
1.7.5,1
1.15.3,1
1.9.5,1
1.11.7,1
