ip,port,status_code,server_header,nginx_version
"79.125.18.42","80","200","nginx/1.28.3","1.28.3"
"79.125.18.42","443","200","nginx/1.28.3","1.28.3"
"77.241.85.78","80","200","nginx","unknown"
"77.241.85.78","443","200","nginx","unknown"
"194.104.118.60","443","200","nginx/1.26.3","1.26.3"
"85.209.111.76","80","200","nginx","unknown"
"85.209.111.76","443","200","nginx","unknown"
"86.105.246.68","80","200","nginx","unknown"
"86.105.246.68","443","200","nginx","unknown"
"84.241.179.158","80","404","nginx","unknown"
"84.241.179.158","443","404","nginx","unknown"
"63.178.162.23","80","200","nginx","unknown"
"51.124.60.36","80","200","nginx","unknown"
"51.124.60.36","443","200","nginx","unknown"
"87.233.75.84","80","200","nginx","unknown"
"87.233.75.84","443","200","nginx","unknown"
"85.159.98.204","80","200","nginx","unknown"
"85.159.98.204","443","200","nginx","unknown"
"93.186.176.74","80","200","nginx","unknown"
"93.186.176.74","443","200","nginx","unknown"
"87.236.96.151","80","200","nginx","unknown"
"87.236.96.151","443","200","nginx","unknown"
"83.217.77.248","443","404","nginx","unknown"
"93.92.103.90","80","200","nginx","unknown"
"93.92.103.90","443","200","nginx","unknown"
"95.215.186.11","80","404","nginx","unknown"
"95.215.186.11","443","403","nginx","unknown"
"93.119.3.231","80","200","nginx","unknown"
"93.119.3.231","443","200","nginx","unknown"
"93.186.176.90","80","200","nginx","unknown"
"93.186.176.90","443","200","nginx","unknown"
"86.105.246.251","80","403","nginx","unknown"
"86.105.246.251","443","200","nginx","unknown"
"93.92.103.119","80","200","nginx","unknown"
"93.92.103.119","443","200","nginx","unknown"
"93.186.178.212","80","200","nginx","unknown"
"93.186.178.212","443","200","nginx","unknown"
"93.92.103.84","80","200","nginx","unknown"
"93.92.103.84","443","400","nginx","unknown"
"93.92.103.116","80","200","nginx","unknown"
"93.92.103.116","443","200","nginx","unknown"
"94.228.136.169","80","403","nginx","unknown"
"94.228.136.169","443","403","nginx","unknown"
"95.215.186.24","80","200","nginx","unknown"
"93.92.103.97","80","200","nginx","unknown"
"93.92.103.97","443","400","nginx","unknown"
"93.92.103.89","80","200","nginx","unknown"
"93.92.103.89","443","200","nginx","unknown"
"93.92.103.107","443","200","nginx","unknown"
"93.92.103.99","80","200","nginx","unknown"
"93.92.103.99","443","200","nginx","unknown"
"93.92.103.118","80","200","nginx","unknown"
"93.92.103.118","443","200","nginx","unknown"
