eol_status,count
unknown,35261
2021-04-20,5775
2024-04-23,3697
2023-04-11,1748
2019-04-23,1120
2026-04-14,903
2022-05-24,749
2026-05-13,735
2025-04-23,723
not EoL,504
2017-04-12,436
2025-06-24,368
2014-04-24,303
2020-04-20,296
2024-05-29,205
2018-04-17,162
2015-04-21,134
2023-05-23,121
2022-06-21,103
2021-05-25,92
2016-04-26,56
2012-04-23,26
2013-04-24,8
