org,count
"QONNECTED-AS - Qonnected B.V., NL",168
"eFolder-NL - eFolder Holdings B.V., NL",168
"host-industry - HOSTING INDUSTRY LIMITED, GB",164
"GreenCloud - Greencloud LLC, VN",160
"MC-NODE-AS - Stef Herman Anton Wolters trading as MC-Node, NL",156
"Access2IT - Access2.IT Group B.V., NL",152
"MYLOC-AS - WIIT AG, DE",148
"MYGAMES - MY.GAMES B.V., NL",148
"X2COM - X2com BV, NL",144
"greenedge - GreenEdge B.V., NL",144
"FIBERRING - LeaseWeb Network B.V., NL",144
"OSSO - OSSO B.V., NL",140
"SolidBE - SolidBE BV, NL",140
"AS-HOSTINGER - Hostinger International Limited, CY",140
"AKAMAI-AS - Akamai Technologies, Inc., US",136
"Esmero - Esmero Holding B.V., NL",136
"PLINQ - PLINQ BV, NL",132
"HostSlim-Global-Network - HOSTSLIM OU, EE",132
"DDF-AS - DDFR IT Infra & Security B.V., NL",132
"ALLHOSTINGS - Innovative IT Solutions LLC, RU",128
"DMA-AS - Shaun O_Neil, trading as DMA Computer Services, NL",128
"KPN-INTERNEDSERVICES - Vancis IP B.V., NL",128
"ASIMO-AS - Asimo Networks B.V., NL",124
"ZYLON-AS - Bas Smit trading as Zylon, NL",124
"NL-NETVISIT - Netvisit B.V., NL",124
"AS-ITGLOBALCOM-KZ - ITGLOBAL.COM RUS Ltd, RU",124
"SIGNET-AS - Signet B.V., NL",124
"AS-F2X - Fiber Services B.V., NL",120
"weserve - Weserve B.V., NL",120
"SEWAN-NL - Sewan Nederland B.V., NL",120
"EuroNet - Euronet Communications B.V., NL",120
"XXLnet - XXLnet B.V., NL",120
"XTOM - xTom Pty Ltd, AU",120
"AS-XYNTA - Onworx BV, NL",116
"FUSIX-AS - Fusix Networks B.V., NL",116
"WholesaleConnections - Wholesale Connections B.V., NL",112
"VBOXX - vBoxx B.V., NL",108
"CITIC - CITIC Telecom CPC Netherlands B.V., NL",108
"EKACOD-AS - Vichislitelniy Centr Ltd., RU",108
"ATOM86-AS - atom86 BV, NL",108
"CLOUDFORESTCOLTD-AS-AP - CLOUDFOREST CO., LTD., TH",108
"INFRAPOD - Jeroen van Brink trading as Infrapod, NL",108
"Servada - Servada B.V., NL",104
"ArenHost - Hadi Santosa, ID",104
"XTOM-AS-JP - xTom, JP",104
"IPCONNECT - IP Connect Inc, SC",100
"RIPE-NCC-AS - Reseaux IP Europeens Network Coordination Centre (RIPE NCC), NL",96
"CRITICALCORE - Critical Core BV, NL",96
"AS268581 - QNAX LTDA, BR",96
"LUCK-NETO-01 - NetO Corp, US",96
"IP-EEND-AS - SURF B.V., NL",96
"INFRABLOCKS - The Infrastructure Group B.V., NL",92
"DTLN - Data Storage Center JSC, RU",92
"HS - Host Sailor Ltd, AE",92
"ASNET - Baxet Group Inc., US",92
"SPEEDXS-AS - DELTA Fiber Nederland B.V., NL",92
"ThreeData-AS - 3DATA LLC, RU",92
"ASSEFLOW - Seflow s.r.l., IT",88
"MEZZAMI-AS - Mezzami B.V., NL",88
"XTOM - xTom GmbH, DE",88
"PAYLOGIC - EVENTIM Holding Benelux B.V., NL",88
"VSHOSTING - VSHOSTING-CDN, CZ",84
"GREENMINIHOST - Green Mini host BV, NL",84
"CLOUDNL-AS - CLOUD.nl B.V., NL",84
"CORENET - Core Network Services FZE, AE",84
"ONIDEL-AS-AP - Onidel Pty Ltd, AU",84
"FOURCONSULT - 4Consult B.V., NL",84
"ASN-POSTA - Posta Slovenije d.o.o., SI",84
"XTOM - xTom, HK",84
"DATAFIBER - DataFiber Group B.V., NL",84
"JONAZ - Jonaz B.V., NL",80
"INIOS-AS - Inios Oy, FI",80
"Rapidgator-AS - ULTRANEX LTD, CY",80
"SMARTWAVE-BROADBAND-AS - SmartWave Broadband LLC, US",80
"NETREBEL - netrebel b.v., NL",80
"A1-DC - A1 Internet BV, NL",76
"HOSTGHOST-AS - HostGhost B.V., NL",76
"logicforge - LogicForge Limited, GB",76
"EKMEDIA - EK-Media B.V., NL",76
"NubaCloud - NubaCloud B.V., NL",76
"FBX-AS - FiberXpress BV, NL",76
"voipedeu - Voiped Wholesale BV, NL",76
"RACKGENIUS - RackGenius, US",72
"NL-KABELTEX - Netwerk Exploitatiemaatschappij B.V., NL",72
"Go-Trex - Go-Trex Holding BV, NL",72
"AS-GLOBALTELEHOST - GTHost, US",72
"BIGNET-AS - _AS43668_ LLC, UA",72
"WORLDSTREAM - WorldStream B.V., NL",72
"AS-SERVERION - Des Capital B.V., NL",72
"nl-1key - 1KEY BV, NL",72
"NL-CAVEO - Caveo Internet BV, NL",72
"TECHNOBERG - Technoberg Beheer B.V., NL",68
"LibertyGlobal - Liberty Global Europe Holding B.V., NL",68
"AS53107 - EVEO S.A., BR",68
"ThreeDATA-AS - 3DATA LLC, RU",68
"CDNetworks - GLOBAL CLOUD NETWORK LLC, RU",68
"CDNEXT - Datacamp Limited, GB",68
"GL-IX-AS - Totaalnet Internet Works B.V., NL",64
"ESAB-AS - 31173 Services AB, SE",64
"NETROUTING-AS - Netrouting B.V., NL",64
"FLEXYNODE-AS - Bram de Graaf trading as FlexyNode, NL",64
"COMNET-AS - Comnet Internetional BV, NL",64
"GD-EMEA-DC-LD5 - Heart Internet limited, GB",64
"Century-LTD - CenturyNetworks Ltd, MH",60
"hostshield - HOSTSHIELD LTD, GB",60
"Infracom-AS - Infracom Holding B.V., NL",60
"LUNA - Ekco B.V., NL",60
"SIT - ExtraIP B.V., NL",60
"PFCLOUD - Pfcloud UG (haftungsbeschrankt), DE",60
"VXbits - Vertixo BV, NL",60
"SPACECORE - SPACECORE SOLUTION LTD, GB",60
"SERVAONE - SERVA ONE LTD, GB",56
"HSCG-AS - Network Operations B.V, NL",56
"DATAWEB - DataWeb B.V., NL",56
"ASSERVEREASY - Servereasy Srl, IT",56
"VIRTUALXS-AS - Virtual Access Internet BV, NL",56
"BIP-AS - Eweka Internet Services B.V., NL",56
"FEROXHOSTING-NET - Luc Haaijer trading as Ferox Hosting, NL",56
"ECHELON-AS - Root Holding B.V., NL",56
"m3networks - M3 Groep BV, NL",56
"NL-NEFOS-AS - Nefos IT bv, NL",56
"gidpro - GidPro BV, NL",56
"PT - KPN B.V., NL",56
"DCSPINE - Eurofiber Cloud Infra B.V., NL",52
"GAMEPOINT - Gamepoint B.V., NL",52
"TRIPLE-IT - Triple IT BV, NL",52
"Voys - Devhouse Spindle B.V., NL",52
"CYBERCON - CYBERCON, INC., US",52
"ColoCenter - ColoCenter b.v., NL",52
"NewVM-AS - NewVM B.V., NL",48
"ASN-COMMUNITYFIBRE - Community Fibre Limited, GB",48
"ARTOFAUTOMATION-AS - Art of Automation B.V., NL",48
"GHOSTYNETWORKS - Ghosty Networks LLC, US",48
"CBWS-AS - CBWS Holding B.V., NL",48
"TNGNET - TNGNET B.V., NL",48
"CleverIT - CleverIT B.V., NL",48
"INS-AS - AT&T Enterprises, LLC, US",48
"AS270824 - ENX Services, BR",48
"MIRHOSTING-NL - MIRhosting B.V., NL",48
"EXTRAIP-AS - ExtraIP B.V., NL",48
"asbizwaynl - Bizway BV, NL",44
"BREEDBANDNEDERLAND - Signet B.V., NL",44
"MOBIELWERKT - MobielWerkt B.V., NL",44
"HIVOS - Stichting Hivos, NL",44
"ZeroPlex - ZeroPlex B.V., NL",44
"VELOXSERV - VeloxServ Communications Ltd, GB",44
"CrownCloud - GWY IT PTY LTD, AU",44
"MyGamesSwitzerland - MY.GAMES B.V., NL",40
"CheeseHosting - KaasHosting B.V., NL",40
"GSLNETWORKS-AS-AP - GSL Networks Pty LTD, AU",40
"CHOCIZ-AS - Chociz Private Limited, IN",40
"InternetArchiveEU - InternetArchiveEU, NL",40
"PROXILITY-AS - Scalix B.V., NL",40
"V6NODE-AS - Ian David Klemm, DE",40
"ASN-NETHOLDING - Garnier Projects BV, NL",40
"kavosnl - Kinga de Vos trading as Kavos Vof, NL",40
"NEDERLANDNET-AS - Computel Standby BV, NL",40
"Walhalla__AS30937 - Walhalla Data Center Services SL, ES",36
"SKP - SKP B.V., NL",36
"serac-nl - Serac Applications B.V., NL",36
"M247 - M247 Europe SRL, RO",36
"THREE-W-INFRA-AS - 3W Infra B.V., NL",36
"AS28022 - CRISP S.A., CR",36
"STEFFANN-DC-AS - S.J.M. Steffann, NL",36
"ASLD4UNITY - LD4Unity B.V., NL",36
"MGHosting - Mark van Ginkel trading as MGHOSTING, NL",36
"VDSKA-AS - Anton Levin, KG",36
"EstNOC-GLOBAL - EstNOC OU, EE",36
"VI-PORT-AS - VI-PORT LLC, UA",36
"FOON - Digifoon Group B.V., NL",36
"PUBLIEKE-OMROEP-AS - Stichting Nederlandse Publieke Omroep, NL",36
"NEDAP-AS - Nedap N.V., NL",36
"ONEOF1SERVERS - 1 of 1 Servers Corp, US",36
"Cloudcontainers - Initworks b.v., NL",36
"as_init3 - Init3 BV, NL",36
"onecentral - onecentral B.V., NL",36
"BUSINESSCONNECT - Today Concepts B.V., NL",36
"SOLVINITY-NL - Solvinity B.V., NL",36
"GETRONICS_AS - GTN Services B.V., NL",36
"JSR-IT-BV - JSR IT B.V., NL",32
"PETIT-AS - Petit Telecom B.V., NL",32
"FIBER01-WOERDEN-AS - Switch Datacenters Amsterdam 6 B.V., NL",32
"KVMKA-COM - ALEKSEI FEDOROV PR KRUSEVAC, RS",32
"CUCI - Cubic Circle B.V., NL",32
"MAMUTRAHAL - MAMUT RAHAL SOFTWARE - FZCO, AE",32
"NETIFACE-AS - Netiface Limited, GB",32
"IP-PROJECTS - Michael Sebastian Schinzel trading as IP-Projects GmbH & Co. KG, DE",32
"MYBIT - MyBit Services BV, NL",32
"DEDICATEDNODES-AS - Danny Nieuwenhuis trading as DedicatedNodes, NL",32
"CLARANET-AS - Claranet Limited, GB",32
"UVA-NL - IDDQD-AS, EU",32
"GOLDENNET - Rabchuk Valentyna Viktorivna, UA",32
"STARGROUP-UA-AS - Stargroup LLC, UA",32
"IN2IP-AS - IN2IP-AS, NL",32
"SYSTEMEC-AS - Systemec BV, NL",32
"PANGEA-CONNECTED - Pangea Connected Limited, GB",32
"SECFIREWALLAS - F.N.S. HOLDINGS LIMITED, CY",32
"nktelecom - NKtelecom INC, US",32
"CQINT-NL - CQ International B.V., NL",32
"AS-ZXCS - Stichting DIGI NL, NL",32
"Linfosys - Linfosys BV, NL",28
"DIGITALOCEAN-ASN - DigitalOcean, LLC, US",28
"libernet - Menno van Krimpen trading as Libernet, NL",28
"MAXITEL - MaxiTEL Telecom B.V., NL",28
"as-speedium - Wijnand Schouten, NL",28
"Layer23 - atom86 BV, NL",28
"ODCN-NL-AS - Dienst Uitvoering Onderwijs, NL",28
"WIFI4ALL-AS - WiFi4all B.V., NL",28
"KUROIT-AS-AP - Kuroit, IN",28
"CLYVO-AS - DD webhosting B.V., NL",28
"AS-DCENT - Dcent Investments BV, NL",28
"NETLOGICS-AS - ADES BV, NL",28
"UPCLOUD - UpCloud Ltd, FI",28
"ANYIT-CONNECTIONS-AS - 2invision Managed Services B.V., NL",28
"ALSYCON-BV - Alsycon B.V., NL",28
"IPUBLICATIONS - iPublications Holding B.V., NL",28
"SWOOTH-AS - Connectra B.V., NL",28
"DUSTIN-MS-NL - Dustin NL B.V., NL",28
"MILLENIALHOSTLIMITED-AS-GB - MillenialHost Limited, HK",24
"H4HOSTING-AS - H4Hosting BV, NL",24
"WebspaceHosting - Webspace Hosting B.V., NL",24
"ATINET - @Inet Technology Consultancy B.V., NL",24
"NL-SVSNET - SvSnet BV, NL",24
"ESPRESSO-AS - Espresso Gridpoint BV, NL",24
"M-Line-AS - M-Line Ltd., RU",24
"AS204765 - 123Telcom BV trading as Partell, NL",24
"MMATON-AS - Max Maton, NL",24
"LEADERTELECOMBV-AS - LeaderTelecom B.V., NL",24
"hostbet - HostBet Cloud Technologies Private Limited, IN",24
"INTENTION-AS - Intention B.V., NL",24
"NebiusCloud - Nebius B.V., NL",24
"ITSOFT-AS - ITSOFT LLC, RU",24
"UCSYSTEMS - CTA Systems B.V., NL",24
"HOSTCIRCLE-L-NL - HostCircle B.V., NL",24
"ITS-AS - Information Technology Support LLC, RU",24
"datathreeAS - 3DATA LLC, RU",24
"ENGIE-SERVICES-SDO - EQUANS Zuid-Nederland bv, NL",24
"Mextal - Mextal B.V., NL",24
"GNX - GNX B.V., NL",24
"PRODACOM-AS - Promo Internet B.V., NL",24
"AS49870-BV - Alsycon B.V., NL",24
"LERTAS-AS - ENAHOST s.r.o., SK",24
"LOGIUS-AZ-1 - baten-lastendienst Logius, NL",24
"KRUIZUA-AS - Kruiz LLC, UA",20
"JACKMX - Roman Sartov, UA",20
"FMO-Solutions - FMO Solutions B.V., NL",20
"COPACO-CLOUD-BACKBONE - Copaco Cloud B.V., NL",20
"HYBULA - Hybula B.V., NL",20
"KLAVER-IT - Michiel Klaver, NL",20
"MIPSGROUP-AS - Mips Group LLC, UA",20
"XYPHEN - Innovation Harbor B.V., NL",20
"IT-TWT-AS - UNIDATA S.p.A., IT",20
"qaleido - Qaleido International BV, NL",20
"Springer-Nature - Springer Nature B.V., NL",20
"AS-CM - CM.com N.V., NL",20
"GLESYS - Glesys AB, SE",20
"UTELS - SPD Polyudov Aleksandr Igorevich, UA",20
"QUPRA-AS - Qupra B.V., NL",20
"ICSOLUTIONS-AS - Dennis Doeve trading as I.C. Solutions, NL",20
"Summerhosting - SummerHosting sp. z o. o., PL",20
"Soverin - Soverin B.V., NL",20
"SkyLink - SkyLink Data Center BV, NL",20
"SmartCities-AS - Smart Cities Limited Liability Partnership, KZ",20
"RUDN-AS - PEOPLES FRIENDSHIP UNIVERSITY OF RUSSIA, RU",20
"Vusam - Daan Jurriaan van Gorkum trading as Vusam V.O.F, NL",20
"Hestronic - Hestronic BV, NL",20
"VANCIS - IDDQD-AS, EU",20
"INTERSTROOM-AS - Interstroom Informatietechnologie BV, NL",20
"assembly - Assembly B.V., NL",20
"NETBELA-AS - Tom Emming trading as Netbela, NL",20
"USA-2022 - NovoServe LLC, US",20
"gntel-AS - Gamma Communications Nederland B.V., NL",20
"SIDN - Stichting Internet Domeinregistratie Nederland, NL",20
"HOSTIN - Rick van der Sterren trading as HostIn, NL",20
"HostCircle-NL - HostCircle B.V., NL",20
"ASN-GVRH - NEP Media Solutions B.V., NL",20
"ATGS-MMD-AS - AT&T Enterprises, LLC, US",16
"vertebratus-nl-as - Vertebratus B.V., NL",16
"NFORCE-FTTB-FTTH - NForce Entertainment B.V., NL",16
"UniscapeB - Uniscape B.V., NL",16
