unknown,70470
1.18.0,11568
1.24.0,7390
1.22.1,2650
1.20.1,1156
1.14.0,946
1.28.0,870
1.22.0,862
1.26.3,726
1.10.3,716
1.14.2,682
1.14.1,478
1.26.2,464
1.29.8,416
1.27.5,394
1.4.5,382
1.28.1,372
1.16.1,360
1.20.2,336
1.28.3,336
1.30.0,326
1.28.2,242
1.29.6,240
1.12.2,226
1.30.1,204
1.4.6,194
1.26.1,184
1.6.2,172
1.31.1,168
1.29.5,154
1.31.0,152
1.29.1,144
1.29.3,140
1.29.4,134
1.29.7,134
1.25.3,132
1.30.2,110
1.23.2,106
1.29.0,102
1.27.4,98
1.25.5,90
1.25.4,76
1.27.3,74
1.26.0,72
1.27.0,70
1.21.6,68
1.16.0,64
1.19.6,60
1.10.2,56
1.27.1,52
1.15.8,50
1.23.3,48
1.7.10,48
1.10.1,48
1.27.2,46
1.25.1,44
1.8.0,44
1.17.3,42
1.23.1,42
1.23.4,38
1.25.2,38
1.8.1,38
1.29.2,34
1.21.1,32
1.21.5,32
1.19.10,30
1.17.6,30
1.25.0,30
1.17.8,26
1.1.19,26
1.19.3,26
1.21.3,26
1.10.0,22
1.17.10,22
1.21.2,20
1.12.1,20
1.17.5,20
1.21.0,20
1.15.9,18
1.12.0,18
1.19.0,18
1.13.12,16
1.2.1,14
1.15.0,14
1.19.8,14
1.15.5,14
1.17.9,12
1.13.3,12
1.13.6,12
1.17.7,12
1.15.12,12
1.20.0,10
1.15.6,10
1.0.15,10
1.6.0,10
1.21.4,10
1.6.1,8
1.19.5,8
1.13.8,8
1.9.9,8
1.19.2,8
1.4.4,8
1.7.7,8
1.11.8,6
1.15.2,6
1.19.7,6
1.9.15,6
1.4.2,6
1.13.5,6
1.5.13,6
1.6.3,6
1.11.9,6
1.23.0,6
1.11.5,6
1.4.7,6
1.19.1,6
1.19.4,6
1.1.1,4
1.11.3,4
1.17.4,4
1.7.6,4
1.13.1,4
1.0.5,4
0.8.54,4
1.0.10,4
1.15.10,4
1.9.10,4
1.7.12,4
1.7.5,4
1.15.3,4
1.9.3,4
1.9.11,4
version,2
1.0.11,2
1.15.1,2
0.8.52,2
1.13.9,2
1.23.3.5,2
1.13.11,2
1.7.1,2
1.15.7,2
1.9.1,2
1.11.2,2
1.4.1,2
0.7.67,2
1.0.14,2
1.2.0,2
1.17.2,2
1.11.10,2
1.9.5,2
1.11.7,2
1.11.1,2
1.5.1,2
1.17.1,2
0.8.53,2
1.31.0.1,2
1.15.11,2
0.3.33,2
1.19.9,2
