version,count,cves,cve_count
unknown,71,none,0
1.26.3,2,none,0
1.6.2,1,none,0
1.14.2,1,CVE-2019-20372; CVE-2021-23017,2
1.28.0,1,none,0
1.24.0,1,CVE-2023-44487,1
1.20.1,1,CVE-2023-44487,1
1.30.1,1,none,0
1.18.0,1,CVE-2021-23017; CVE-2023-44487,2
