ip,software,version,eol_status
45.157.203.99,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
95.211.144.172,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/5.4.16,1.0.2k,2019-12-31
45.136.66.14,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.141.18.211,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.140.9.239,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
139.162.222.187,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips,1.0.2k,2019-12-31
46.161.211.149,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
37.48.120.223,Apache/2.4.6 (CentOS) OpenSSL/1.0.2k-fips PHP/7.0.33,1.0.2k,2019-12-31
45.135.98.68,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
45.157.202.211,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
139.162.70.163,Apache/2.4.37 (AlmaLinux) OpenSSL/1.1.1k,1.1.1k,2023-09-11
195.62.23.238,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
91.244.207.136,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
91.244.205.232,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.157.203.13,Apache/2.4.58 (Unix) OpenSSL/1.1.1w PHP/8.2.8,1.1.1w,2023-09-11
45.135.99.170,Apache/2.4.58 (Unix) OpenSSL/1.1.1n PHP/8.2.8,1.1.1n,2023-09-11
