ip,module,status_code,server_header,version
"109.72.86.8","http80","200","nginx","unknown"
"92.122.60.176","http80","400","AkamaiGHost","unknown"
"143.177.123.62","http80","200","openresty","unknown"
"2.16.247.162","http80","400","AkamaiGHost","unknown"
"2.22.112.4","http80","400","AkamaiGHost","unknown"
"83.81.2.167","http80","200","","unknown"
"2.20.34.248","http80","400","AkamaiGHost","unknown"
"2.20.243.147","http80","400","AkamaiGHost","unknown"
"95.100.113.5","http80","400","AkamaiGHost","unknown"
"31.207.28.201","http443","404","","unknown"
"95.100.65.91","http443","400","AkamaiGHost","unknown"
"95.100.65.91","http80","400","AkamaiGHost","unknown"
"95.101.241.25","http443","400","AkamaiGHost","unknown"
"95.101.241.25","http80","400","AkamaiGHost","unknown"
"2.21.109.90","http443","400","AkamaiGHost","unknown"
"2.21.109.90","http80","400","AkamaiGHost","unknown"
"95.100.176.189","http443","400","AkamaiGHost","unknown"
"95.100.176.189","http80","400","AkamaiGHost","unknown"
"62.251.71.163","http443","403","Apache","unknown"
"62.251.71.163","http80","403","","unknown"
"2.18.237.113","http443","400","AkamaiGHost","unknown"
"2.18.237.113","http80","400","AkamaiGHost","unknown"
"2.16.175.146","http443","400","AkamaiGHost","unknown"
"2.16.175.146","http80","400","AkamaiGHost","unknown"
"95.100.227.47","http443","400","AkamaiGHost","unknown"
"95.100.227.47","http80","400","AkamaiGHost","unknown"
"5.255.112.184","http443","200","nginx/1.18.0 (Ubuntu)","1.18.0"
"2.19.193.85","http80","400","AkamaiGHost","unknown"
"2.18.173.60","http443","400","AkamaiGHost","unknown"
"2.18.173.60","http80","400","AkamaiGHost","unknown"
"194.242.15.84","http443","403","nginx","unknown"
"194.242.15.84","http80","403","nginx","unknown"
"136.144.253.96","http443","200","nginx","unknown"
"136.144.253.96","http80","200","nginx","unknown"
"2.20.57.240","http443","400","AkamaiGHost","unknown"
"2.20.57.240","http80","400","AkamaiGHost","unknown"
"2.22.193.212","http443","400","AkamaiGHost","unknown"
"2.22.193.212","http80","400","AkamaiGHost","unknown"
"2.18.111.36","http80","400","AkamaiGHost","unknown"
